Crash Record Number,County Code,County Name,Municipality Code,Municipality Name,Crash Year,Crash Month,Day of Week,Time of Day,Hour of Day,Illumination,Weather,Road Condition,Collision Type,Fatality Count,Injury Count,Arrival Time,Dispatch Time,Vehicle Count,Automobile Count,Motorcycle Count,Bus Count,Small Truck Count,Heavy Truck Count,SUV Count,Van Count,Bicycle Count,Pedestrian Count,Latitude (Decimal),Longitude (Decimal),Speeding Related,Aggressive Driving
2003237324,46,Montgomery,46220,Upper Merion Twp,2003,10,6,1603,16,Daylight,No adverse conditions,Dry,Angle,0,1,9999,9999,2,1,0,0,1,0,0,0,0,0,40.0953,-75.361,No,Yes
2005069113,46,Montgomery,46220,Upper Merion Twp,2005,2,7,1008,10,Daylight,No adverse conditions,Dry,Angle,0,2,1015,1009,2,2,0,0,0,0,0,0,0,0,40.097,-75.3256,No,Yes
2014023736,46,Montgomery,46220,Upper Merion Twp,2014,1,1,218,2,Dark no street lights,Rain,Dry,Rear-end,0,2,245,236,2,2,0,0,0,0,0,0,0,0,40.1049,-75.42,No,Yes
1999120963,46,Montgomery,46220,Upper Merion Twp,1999,11,7,750,7,Daylight,No adverse conditions,Dry,Angle,0,0,9999,9999,2,1,0,0,1,0,0,0,0,0,40.1011,-75.4193,No,Yes
2006097105,46,Montgomery,46220,Upper Merion Twp,2006,8,2,2119,21,Dark street lights,No adverse conditions,Dry,Hit fixed object,0,0,2131,2121,1,0,0,0,0,0,0,1,0,0,40.0762,-75.3639,Yes,Yes
1997094137,46,Montgomery,46220,Upper Merion Twp,1997,9,7,1900,19,Dusk,No adverse conditions,Dry,Non collision,0,0,9999,9999,1,1,0,0,0,0,0,0,0,0,,,No,No
1999024869,46,Montgomery,46220,Upper Merion Twp,1999,1,3,1830,18,Dark no street lights,No adverse conditions,Dry,Rear-end,0,1,9999,9999,2,2,0,0,0,0,0,0,0,0,40.076,-75.3616,Yes,Yes
2009027600,46,Montgomery,46220,Upper Merion Twp,2009,3,1,2321,23,Dark no street lights,Snow,Snow covered,Hit fixed object,0,0,2341,2323,1,0,0,0,0,0,1,0,0,0,40.0937,-75.3965,Yes,Yes
2006064966,46,Montgomery,46220,Upper Merion Twp,2006,5,4,1446,14,Daylight,No adverse conditions,Dry,Hit fixed object,0,0,1517,1450,1,1,0,0,0,0,0,0,0,0,,,Yes,Yes
2006096406,46,Montgomery,46220,Upper Merion Twp,2006,9,3,806,8,Daylight,No adverse conditions,Dry,Sideswipe (Opposite dir.),0,3,808,806,4,2,0,0,0,0,2,0,0,0,40.0759,-75.3534,No,No
1997037131,46,Montgomery,46220,Upper Merion Twp,1997,4,4,1327,13,Daylight,No adverse conditions,Dry,Hit fixed object,0,0,9999,9999,1,1,0,0,0,0,0,0,0,0,40.0668,-75.3346,No,No
2003048313,46,Montgomery,46220,Upper Merion Twp,2002,4,2,1209,12,Daylight,No adverse conditions,Dry,Sideswipe (same dir.),0,0,1226,1210,2,1,0,0,0,1,0,0,0,0,40.0917,-75.4094,No,Yes
1998055705,46,Montgomery,46220,Upper Merion Twp,1998,3,7,1012,10,Daylight,Rain,Wet,Hit fixed object,0,1,9999,9999,1,1,0,0,0,0,0,0,0,0,40.0986,-75.3546,Yes,Yes
1998064876,46,Montgomery,46220,Upper Merion Twp,1998,6,6,1115,11,Daylight,Rain,Wet,Angle,0,1,9999,9999,2,0,0,0,2,0,0,0,0,0,,,No,Yes
2006058860,46,Montgomery,46220,Upper Merion Twp,2006,4,3,1805,18,Daylight,No adverse conditions,Dry,Rear-end,0,6,1823,1811,7,6,0,0,0,0,1,0,0,0,40.0882,-75.3672,Yes,Yes
1999075668,46,Montgomery,46220,Upper Merion Twp,1999,6,4,2200,22,Dark no street lights,No adverse conditions,Dry,Rear-end,0,2,9999,9999,2,1,0,0,0,0,1,0,0,0,40.1045,-75.4198,Yes,Yes
